Designator,Mid X,Mid Y,Rotation,Layer
D1,147.425,-88.5255,90.0,bottom
D2,166.475,-88.5255,90.0,bottom
D3,185.525,-88.5255,90.0,bottom
D4,147.425,-107.5755,90.0,bottom
D5,166.475,-107.5755,90.0,bottom
D6,185.525,-107.5755,90.0,bottom
D7,147.425,-126.6255,90.0,bottom
D8,166.475,-126.6255,90.0,bottom
D9,185.525,-126.6255,90.0,bottom
J1,155.553,-73.95,0.0,top
LED,159.109,-60.742,0.0,top
R1,165.459,-74.712,90.0,top
S1,137.9,-86.263,0.0,top
S2,156.95,-86.263,0.0,top
S3,176.0,-86.263,0.0,top
S4,137.9,-105.313,0.0,top
S5,156.95,-105.313,0.0,top
S6,176.0,-105.313,0.0,top
S7,137.9,-124.363,0.0,top
S8,156.95,-124.363,0.0,top
S9,176.0,-124.363,0.0,top
SW1,176.385,-69.378,0.0,top
U1,139.4592,-68.5885,90.0,top
